"","age","gender","income","education","country","winnerN","P_OTwin_late","P_OTwin_early","otherTeam_distance_before","ownTeam_distance_before","wholeGroup_distance_before","session","treatment","dgOffer"
"4103","33","Male",5,5,"US","deadLock",NA,NA,57,112,125,186,"S4_5",0.4
"4104","27","Female",5,5,"US","otherTeam",0,0.21621622,73,125,125,209,"S4_1",0.1
"4105",NA,NA,NA,NA,NA,"deadLock",NA,NA,-50,-50,-50,127,"S4_2",NA
"4106","38","Male",2,6,"non-US","deadLock",0,0.16666667,79,124,106,128,"S4_4",0.2
"4107","29","Female",6,5,"US","otherTeam",NA,0.66666667,50,53,46,169,"S4_1",0
"4108","29","Male",10,5,"US","ownTeam",NA,NA,12,44,100,213,"S4_1",0
"4109","44","Female",4,4,NA,"deadLock",NA,NA,61,-53,43,159,"S4_5",0
"4110","27","Male",10,6,"US","otherTeam",0.929577465,NA,-100,125,-23,167,"S4_1",0
"4111","42","Male",8,3,"US","deadLock",NA,NA,-100,-99,-100,128,"S4_4",0
"4112","33","Male",5,5,"non-US","ownTeam",NA,NA,56,99,107,170,"S4_4",0
"4113","35","Female",9,5,"US","deadLock",NA,NA,-5,56,18,197,"S4_3",0
"4114","38","Male",10,5,"US","otherTeam",0,0,9,118,88,175,"S4_2",0.2
"4115",NA,NA,NA,NA,NA,"deadLock",0,0,-50,-50,-50,190,"S4_3",NA
"4116","30","Male",2,5,"non-US","deadLock",0.012738854,0.24096386,21,117,108,141,"S4_5",0
"4117","28","Male",5,5,"US","deadLock",1,1,-28,18,7,184,"S4_2",0
"4118","42","Male",10,4,"US","deadLock",NA,1,-3,30,52,184,"S4_2",0.15
"4119","47","Female",3,4,"US","otherTeam",0.808917197,0.86746988,-1,57,42,196,"S4_4",0.1
"4120","38","Female",7,5,"US","deadLock",0,NA,122,96,77,215,"S4_2",0.1
"4121","42","Male",1,2,"US","ownTeam",NA,NA,-2,12,5,217,"S4_4",0
"4122","32","Male",3,5,"non-US","deadLock",NA,NA,125,125,121,142,"S4_2",0.1
"4123","34","Male",8,6,"US","deadLock",1,0,24,69,51,174,"S4_1",0
"4124","44","Female",3,4,"US","otherTeam",NA,NA,-50,57,69,176,"S4_5",0.2
"4125","43","Female",6,5,"US","deadLock",NA,NA,-1,85,49,205,"S4_4",0.1
"4126","53","Male",4,4,"US","deadLock",0.666666667,0.11363636,-12,48,29,129,"S4_1",0
"4127","55","Female",8,4,"US","deadLock",NA,NA,-27,91,28,131,"S4_2",0
"4128","40","Male",7,6,"US","deadLock",0.8,0.98360656,39,93,87,126,"S4_2",0.15
"4129","28","Female",4,5,"US","deadLock",NA,NA,-50,23,5,208,"S4_2",0.1
"4130","40","Female",2,2,"US","deadLock",NA,NA,-2,17,4,166,"S4_2",0
"4131","51","Female",5,4,"US","deadLock",0,0.19277108,114,110,101,126,"S4_2",0
"4132","25","Female",5,5,"non-US","deadLock",NA,NA,125,107,125,173,"S4_4",0.1
"4133","41","Female",6,2,"US","deadLock",0,0,-5,125,44,198,"S4_2",0
"4134","56","Female",10,4,"US","deadLock",NA,NA,41,49,34,202,"S4_1",0.2
"4135","44","Male",5,4,"US","deadLock",1,1,-50,-50,-50,208,"S4_2",0
"4136","55","Male",5,5,"US","otherTeam",0,0.03896104,90,63,67,211,"S4_5",0.1
"4137","37","Female",4,3,"US","ownTeam",0,NA,-100,125,125,167,"S4_1",0.2
"4138","37","Female",7,6,"US","otherTeam",NA,1,35,86,58,213,"S4_1",0
"4139","35","Female",7,5,"US","deadLock",0.01910828,0.55421687,1,72,35,143,"S4_5",0
"4140","32","Female",7,5,"US","deadLock",NA,NA,-31,123,54,149,"S4_3",0.2
"4141","33","Female",6,5,"US","deadLock",NA,NA,-8,22,8,168,"S4_3",0
"4142","33","Male",6,4,"US","deadLock",0.993630573,1,-44,125,31,182,"S4_4",0
"4143","34","Male",8,6,"US","deadLock",NA,NA,-5,124,-4,190,"S4_3",0
"4144","58","Female",2,4,"US","deadLock",NA,NA,1,25,11,157,"S4_2",0.4
"4145","29","Female",2,5,"US","otherTeam",0.133757962,0.08433735,-100,13,5,188,"S4_5",0.2
"4146","28","Male",1,5,"non-US","deadLock",NA,NA,25,86,55,173,"S4_4",0
"4147","34","Female",7,2,"US","deadLock",0.818181818,0.81818182,-100,125,122,189,"S4_2",0
"4148","61","Male",4,5,"US","deadLock",1,1,11,56,56,199,"S4_2",0.2
"4149","30","Male",2,5,"non-US","otherTeam",0,0,123,56,125,206,"S4_1",0.05
"4150","27","Male",9,5,"US","otherTeam",1,1,-3,103,52,122,"S4_1",0
"4151","30","Female",5,5,"US","deadLock",NA,NA,-100,125,89,146,"S4_4",0
"4152","22","Male",1,4,"US","otherTeam",1,0.58227848,26,74,86,123,"S4_5",0
"4153","58","Male",1,4,"US","deadLock",1,1,19,93,46,193,"S4_1",0.2
"4154","44","Male",6,4,"US","deadLock",1,0.95180723,9,93,100,160,"S4_4",0
"4155","24","Male",1,5,"US","deadLock",1,0.96226415,88,125,74,144,"S4_1",0
"4156","45","Female",4,4,"US","ownTeam",NA,NA,34,36,24,188,"S4_5",0
"4157","36","Male",6,4,"US","deadLock",NA,NA,12,51,74,134,"S4_3",0.2
"4158","28","Male",2,5,"non-US","deadLock",1,1,125,83,54,207,"S4_3",0
"4159","22","Female",2,5,"US","ownTeam",NA,0,13,103,53,122,"S4_1",0.2
"4160","28","Male",2,5,"non-US","otherTeam",1,1,14,125,65,137,"S4_1",0
"4161","46","Female",8,1,"US","deadLock",NA,NA,59,88,102,166,"S4_2",0.05
